taxi_id,trips_count,total_trip_total,total_trip_seconds,total_trip_miles
50142176d90fb9c95a38ae58b5ecd2aa8f7c49b54ff90b98bf778d307250fcb9a4ff0da20863e0014517f425572b798a7033d8f9f7df36f3be954c16571d2f74,3699,57226.24,3248277.0,17432.3
50fd36d5b8ca93535bfef3269ccd7c0f36dc63e55d503a0c6ada13a2f2302864babc5d7fa7dc3c78124bdc93a96c6d5ff6bbf9edaa7b82bb1167dabf18be77bc,1400,24830.920000000002,1390910.0,7884.7
52adf033bb533b6bd92cb6b683766bbfe9f239be7cc40c0c1804d0b5755c08eddc1328a42efd64e2d7dfe7f04769b2a1499433ef3bd032b5f57f60d17a3265ed,6617,91299.32,5256888.0,26720.5
53de0dbfc9e66a4ae663f3383fbbf41032653d04aa87007a3583585c3e79258d87ffb7cb342586f73aa690d69f51ad88ef29a3370b6d681ed78b5a20726d9ded,2598,40788.44,2411694.0,12043.8
55046f224fe55c857982adc1eeda0d2b083e3b1c1eab1a846a32ae00a5e9816b230f541701c71664606a6ce8a5c5a32d57170cf6b219fef58082da5587080e95,3962,42034.25,2876090.0,9811.7
56ebda9e81151ebf0a9cb18439158956e9b2262f4d80f3c508fefc1c443dda8cdebfd3e71c9084d3606438745735f66789a240f7a0c0e8a723a87c5fde14a92e,3394,53917.82,2884249.0,16802.9
56f1931a0c8e8a64a681c2f40dc4a512cecf7bd646f15982c76839698a77402e6d9422fbc819487fc2b6e9660ca2d45edd31e21c8d114088c2c7e1c79f681973,3321,37095.32,2192227.0,9531.9
5866e731fed5c82556c87a73b3ec2e19dd13d4cdc46a341b98f62590a68c44a319b7dd8641956a012079dc18e85e48dad0cb2cff696127e84d5efd157d467b27,5293,62444.08,3659597.0,16116.2
587aaccc096fdfd5a3a683bee38b1e16aaebf0df7c80ed495b1094e1a6d7d60b6948385e8eea8e97ca297e964d7358c5aa899cde8dc8e4d5cc2446187e662fc8,4598,53389.36,3133324.0,13949.1
58b30580817487ad4df0d8093e7770c1f34fec52f2426ffeb49ca06173962909b586d26d3b64b653b9cc7b601cd22ae3ff8d4ab158dada1f54b53f5ad86dc7cc,6104,79952.15,4541101.0,23027.7
58c784c628cc2b0b77468e6a406acea729301abbc17a6240eed68ac3b5ce5a9378deffab5b2b940db6c83e7c9553eacd8fdb8d10593e071cefffe2b388af3bd7,6291,82575.47,4585909.0,26080.4
59f174de213e9f745ae188f2cc9db91f966e7e18e3d3d66fd55e2e43acb7ed0ea05637472bdec517d974a7265004165e035284572cd863c25aef71c8842142f3,5090,75092.18,4496071.0,22088.6
5c1fa688d3a8f6869272a68a78afb7dfa57cd2e3baa8d359628960b35c085437bf180532f80b9b7dbaa92e5d5d5508c01596861059c5500dd1fd23599c6dcb25,775,13940.52,813517.0,4280.4
5d7636d4b116cb2074313e3aa986f60e6a2c6e9d139ee195c3b5b6b118380ec3015690da0d8ef341be6877c476c249dfb2dde878a82e61da4003738a2e37d85f,1376,19608.01,1182971.0,5797.7
5eac444af144fca7873ee6adb92594ba02d1fb64a516fdb007745369b1370c7fada0c0025eed87a3d148be51f6a38d7b9a01839600f2956770eb87c27b0a4d37,2933,34244.62,2138636.0,9187.9
5f7765c52d980d9aa8ec18e22238a879028bcc404188d0386f113500e535268e98a360be84189ef8a2dcfb545886a25b20bbadd8cc4d053b09ba098e870db833,5587,74810.21,4499781.0,21325.3
6161b78168fb8a51b06c3994f62522e1d21390a969e3b143fef021089396dc3e09774b53b6a6b03aba1add38e132f04d6be3218b85a959c241c0a5f2170c35dd,6810,83019.03,4857894.0,22384.5
61fd073ccedd569e0cbc77c5e8cfae28684a29d37a18f01ccd50164a851fccfba326d9be0fa012e63829551330e8ff3de24ab47cfc2548ae033cd487aabea361,7331,94036.15,5205705.0,26712.3
641c9356c873f4b5fb13d4b2f70d8b4d4b7b2c9805727284f91e0b267d95ef99815b3ecd18ed25b9daedb0ad0ddf0c4173e1d5d0ee99137b184a6f8c062f0b2c,2086,24624.18,1418138.0,6382.8
64375e2b26ec87f4da6e0c3b8887d949b8e91e9072a428b4433b3dd18722c50feb3be4456f9ce897346c8ed7c7ae7c72e6646ce3b6af81f9d49490d8e4f4d855,4858,63516.32,3715766.0,17921.2
64462077d1577c4a55e4c497d4a19e663e4c9d23b13b1071a427c3240707fc67447cb7b95e99105ce2ab0ddf541b05cbe1c7ff2bc28d0906c8a38aa71ed1b201,9,37.15,111.0,0.0
