taxi_id,Public Vehicle Number,Vehicle Make,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source
61fd073ccedd569e0cbc77c5e8cfae28684a29d37a18f01ccd50164a851fccfba326d9be0fa012e63829551330e8ff3de24ab47cfc2548ae033cd487aabea361,1801,TOYOTA,2014.0,WHITE,Hybrid
22c14626f6bfb534f0181e4584ad8bd04d7f988f254d9f04a5ca8a000d0cf601bb373e31701a613c023760af2458d94c11084879ad30fa1c644e1086f2e312ce,6919,TOYOTA,2015.0,WHITE,Hybrid
7a0718b94050ed472c67f0ca07244255914458b50cce36a17e9a4c1d1a48d1c60833ce981701b9335fdc71fec8ef94561bb92f21e72f6aaf707846a87c45c0ba,3974,TOYOTA,2015.0,WHITE,Hybrid
abf864864f5e9426c92e07a90dd571dfe4bc4aa0000712bc9ae67db8561fbda73b266a21e8554ca7a5cbe61a577876a0be2b38681f95ad172167ea8fc8b424f8,1289,TOYOTA,2012.0,WHITE,Hybrid
9b2abc5d3f00e32d339b224c4ffce74193f277947094974a519c6f7c749fee3e1695f107cd7435a261ea3634723fd9b29cb9f39800547766671b08ba2e1315b0,195,FORD,2012.0,WHITE,Hybrid
42b65f221a8bdd75e14b231f7461547d32c92f4b4f6f50b82378f9686b7a4e99522d27c14d1ec2bd172794af71dd73b7be617384a07373874f95ecf96bb97c5d,4735,TOYOTA,2014.0,BLUE/WHITE,Hybrid
c89d01f343b28aecc4a5c84de8ded5d8a2d14fd2bfc79c95072deb84b732469828944f3048a6b80601a447dc8b24b17a376a58e25c2c02742f299a0ad2e045ff,2887,TOYOTA,2015.0,WHITE,Hybrid
77cae6a9e4ce953c603048f153a9b43ed0ee3485c3958e0802d939aed68ecf3e174df5b4d5ac8e6ea84736222f9a7f47e64b7f7dea08d28596532200c9fc0cc3,252,TOYOTA,2013.0,WHITE,Hybrid
978a4839c7b19aa99a5a0acc0c3fab414527057fde946f5d797d22295a250324d3925257a69953cb97ec3e783aff59385477070658b1a0483f1569ada99a6147,6588,TOYOTA,2012.0,WHITE,Hybrid
c38539ae509222f22b542332a6de4d8d7c9be56021f0049a7f0f8dd553ffe0e95726e8d71042c472762e547292f2cc5eeffd5575aed75d170dd5df65e62c4219,904,TOYOTA,2014.0,BLUE/WHITE,Hybrid
f27369008c4560cb19692d5c983249669201047595aeeb7198da6181c5e3d78b709c1d3c00821801923f5c91394607ed34a0c115118afd57b1b4ecfb47335873,3933,FORD,2012.0,WHITE,Hybrid
efb464d432970a2a7a4ee8386f70c403f48c9ccd9008b7680fae247ba23e8bef93ce63707acbc5efe6c523b7b83382ecd5262b76fd1b6985e41cc17eb330f7e1,4677,TOYOTA,2014.0,GREEN,Hybrid
931225a382fc38a75212f9d358439aec0d9b50fdaf32ad72ab675712c03e407a9bf99bea5f85136dd82fb3044040ee8854facb01d586e9715aec7dd1ae602d69,5104,TOYOTA,2015.0,WHITE,Hybrid
783c959e13345041969042574f134d1b9c9816dbfd73a7612335fbc48c24a87c39029ba9093607d5f1786fd444c4b19c80fe201a3055d4a723ea5dd8416ec592,250,VPG,2012.0,WHITE,Compressed Natural Gas
