location_coordinates,address,type
"41.978829526, -87.771166703","5394-5396, North Milwaukee Avenue, Gladstone, Jefferson Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",yes
"41.79259236, -87.769615453","5860, West 55th Street, Garfield Ridge, Chicago, Lake Township, Cook County, Illinois, 60638, United States",yes
"41.97907082, -87.903039661","O'Hare Arrivals Terminal 3, O'Hare, Chicago, Jefferson Township, Cook County, Illinois, 60666, United States",bridge
"41.874005383, -87.66351755","1445, West Harrison Street, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States",terrace
"41.77887686, -87.594925439","6350-6358, South Kimbark Avenue, Woodlawn, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",yes
"41.835117986, -87.618677767","Pershing Elementary School, 3200, South Calumet Avenue, Bronzeville, Douglas, Chicago, Cook County, Illinois, 60616, United States",school
"41.947791586, -87.683834942","3632, North Leavitt Street, Roscoe Village, North Center, Chicago, Lake View Township, Cook County, Illinois, 60625, United States",yes
"42.009622881, -87.670166857","7010, North Ashland Boulevard, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",yes
"41.927260956, -87.765501609","West Wrightwood Avenue, Kelvyn Grove, Beat 2515, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",parking
"41.9867118, -87.663416405","1301, West Early Avenue, Edgewater Glen, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60660, United States",yes
"41.909495669, -87.630963601","52, West Burton Place, Gold Coast, Near North Side, Chicago, Cook County, Illinois, 60610, United States",yes
"41.877406123, -87.621971652","McCormick Place Busway, Printer's Row, Loop, Chicago, Cook County, Illinois, 60605, United States",monument
"41.785998518, -87.750934289","Chicago Midway International Airport, 5700, South Cicero Avenue, Garfield Ridge, Chicago, Lake Township, Cook County, Illinois, 60638, United States",aerodrome
"41.93057857, -87.642206313","512, West Wrightwood Avenue, Lincoln Park, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",yes
"41.87866742, -87.671653621","Police Pro Counseling Center, 203-207, South Wood Street, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60612, United States",yes
"41.861280847, -87.630580061","1501, South Clark Street, South Loop, Near South Side, Chicago, Cook County, Illinois, 60605, United States",yes
"41.972562538, -87.678845966","5001-5003, North Damen Avenue, Lincoln Square, Chicago, Lake View Township, Cook County, Illinois, 60640, United States",yes
"41.921701492, -87.655911848","2150-2156, North Seminary Avenue, Lincoln Park, Chicago, Cook County, Illinois, 60614, United States",yes
"41.849246754, -87.624135298","60, East 24th Street, Near South Side, Chicago, Cook County, Illinois, 60616, United States",yes
"41.7904694, -87.601285122","The University of Chicago, 5801, South Ellis Avenue, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",university
"41.914616286, -87.631717366","1757, North Stockton Drive, Lincoln Park, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",house
"41.907520075, -87.6266589","1360, North Lake Shore Drive, Lincoln Park, Chicago, Cook County, Illinois, 60610, United States",apartments
"41.902788048, -87.62614559","54, East Cedar Street, Gold Coast, Near North Side, Chicago, Cook County, Illinois, 60611, United States",yes
"41.958154876, -87.653021789","7-Eleven, 4150, North Broadway, Buena Park, Uptown, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",convenience
"41.983636307, -87.723583185","Senate Apartments, 5801, North Pulaski Road, Brynford Park, North Park, Chicago, Jefferson Township, Cook County, Illinois, 60646, United States",apartments
"41.914747305, -87.654007029","1836, North Maud Avenue, Lincoln Park, Chicago, Cook County, Illinois, 60614, United States",yes
"41.916005274, -87.675095116","Drummond Elementary School, 1845, West Cortland Street, Logan Square, Chicago, West Chicago Township, Cook County, Illinois, 60622, United States",school
